_uid,input_color_im,trial_num,color_im,gripper_pose,input_binary_im,human_label,completed,found_grasp,gripper_width,dropped_object,seg_camera_intrinsics,depth_im,seg_binary_im,planning_time,input_depth_im,object_key,seg_color_im,input_pose,lifted_object,seg_depth_im,_default
int,str,int,str,str,str,int,bool,int,float,bool,str,str,str,float,str,str,str,str,bool,str,
48,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_48.png,6,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_48.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_48.tf,,0,True,1,0.0,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_48.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_48.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_48.png,2.6758089066,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_48.npy,part3,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_48.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_48.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_48.npy,
49,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_49.png,7,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_49.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_49.tf,,1,True,1,0.0087,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_49.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_49.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_49.png,2.2606170177,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_49.npy,part3,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_49.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_49.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_49.npy,
50,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_50.png,8,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_50.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_50.tf,,0,True,1,0.0,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_50.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_50.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_50.png,2.7189910412,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_50.npy,part3,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_50.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_50.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_50.npy,
0,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_color_im_0.png,0,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/color_im_0.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/gripper_pose_0.tf,,1,True,1,0.0091,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_camera_intrinsics_0.intr,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/depth_im_0.npy,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_binary_im_0.png,2.7049820423,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_depth_im_0.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_color_im_0.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_pose_0.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_depth_im_0.npy,
1,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_color_im_1.png,1,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/color_im_1.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/gripper_pose_1.tf,,1,True,1,0.0176,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_camera_intrinsics_1.intr,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/depth_im_1.npy,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_binary_im_1.png,2.2704370022,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_depth_im_1.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_color_im_1.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_pose_1.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_depth_im_1.npy,
2,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_color_im_2.png,2,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/color_im_2.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/gripper_pose_2.tf,,1,True,1,0.0116,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_camera_intrinsics_2.intr,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/depth_im_2.npy,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_binary_im_2.png,2.6194350719,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_depth_im_2.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_color_im_2.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_pose_2.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_depth_im_2.npy,
3,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_color_im_3.png,3,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/color_im_3.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/gripper_pose_3.tf,,1,True,1,0.0089,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_camera_intrinsics_3.intr,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/depth_im_3.npy,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_binary_im_3.png,2.103427887,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_depth_im_3.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_color_im_3.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_pose_3.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_depth_im_3.npy,
4,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_color_im_4.png,4,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/color_im_4.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/gripper_pose_4.tf,,1,True,1,0.0153,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_camera_intrinsics_4.intr,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/depth_im_4.npy,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_binary_im_4.png,2.1087300777,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_depth_im_4.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_color_im_4.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_pose_4.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_depth_im_4.npy,
5,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_color_im_5.png,5,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/color_im_5.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/gripper_pose_5.tf,,1,True,1,0.0114,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_camera_intrinsics_5.intr,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/depth_im_5.npy,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_binary_im_5.png,1.8492431641,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_depth_im_5.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_color_im_5.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_pose_5.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_depth_im_5.npy,
6,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_color_im_6.png,6,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/color_im_6.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/gripper_pose_6.tf,,0,True,1,0.0001,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_camera_intrinsics_6.intr,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/depth_im_6.npy,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_binary_im_6.png,2.1936888695,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_depth_im_6.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_color_im_6.png,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/input_pose_6.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_rsbvymsqqy/raw/seg_depth_im_6.npy,
